Date,Industry_aggregation_NZSIOC,Industry_code_NZSIOC,Industry_name_NZSIOC,Units,Variable_code,Variable_name,Variable_category,Value,Industry_code_ANZSIC06,,,,,,,,
23.01.2024,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
14.02.2024,Level 1,99999,All industries,Dollars (millions),H13,Redundancy and severance,Financial performance,269,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",,,,,,,,
03.03..2024,Level 1,99999,All industries,Dollars (millions),H14,Salaries and wages to self employed commission agents,Financial performance,1639,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",,,,,,,,
04.04.2024,Level 1,99999,All industries,Dollars (millions),H19,Purchases and other operating expenses,Financial performance,566979,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",,,,,,,,
05.05.2024,Level 1,99999,All industries,Dollars (millions),H20,Non-operating expenses,Financial performance,23176,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",,,,,,,,
06.06.2024,Level 1,99999,All industries,Dollars (millions),H21,Opening stocks,Financial performance,80778,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",,,,,,,,
07.07.2024,Level 1,99999,All industries,Dollars (millions),H22,Closing stocks,Financial performance,88197,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",,,,,,,,
08.08.2024,Level 1,99999,All industries,Dollars (millions),H23,Surplus before income tax,Financial performance,105450,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",,,,,,,,
09.09.2024,Level 1,99999,All industries,Dollars (millions),H24,Total assets,Financial position,2831894,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",,,,,,,,
10.10.2024,Level 1,99999,All industries,Dollars (millions),H25,Current assets,Financial position,861255,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",,,,,,,,
11.11.2024,Level 1,99999,All industries,Dollars (millions),H26,Fixed tangible assets,Financial position,681890,"ANZSIC06 divisions A-S (excluding classes K6330, L6711, O7552, O760, O771, O772, S9540, S9601, S9602, and S9603)",,,,,,,,
